solution|storagebackend|compparam|threadcount|runner|engine|format|indexon|idx|query|status|run1timeNS|run2timeNS|run3timeNS|run3memKB|run1ioKB|run2ioKB|run3ioKB|ressizeKB
KDB-X SQL|memory|0_0_0|16|KDB-X|SQL||sym|0|load a partition into memory|success|5710091556|||339573959|0|||
KDB-X SQL|memory|0_0_0|16|KDB-X|SQL||sym|-1|transform|success|0|||0||||
KDB-X SQL|memory|0_0_0|16|KDB-X|SQL||sym|-2|sort|success|421111399938|||317827581|0|||
KDB-X SQL|memory|0_0_0|16|KDB-X|SQL||sym|-3|index|success|1764930517|||135954271|0|||
KDB-X SQL|memory|0_0_0|16|KDB-X|SQL||sym|1|SELECT * FROM quote WHERE time<'0D8'|success|46991192|46389651|46794904||0|0|0|8126464
KDB-X SQL|memory|0_0_0|16|KDB-X|SQL||sym|2|SELECT * FROM trade WHERE seq=CAST(0 AS INTEGER)|success|4061562|4637623|3979018||0|0|0|0
KDB-X SQL|memory|0_0_0|16|KDB-X|SQL||sym|3|SELECT * FROM trade WHERE CAST(0 AS INTEGER) < seq AND 0e < price AND time BETWEEN '0D0' AND '1D0' AND size < 2147483647e|success|265973803|265302728|265709574||0|0|0|17039360
KDB-X SQL|memory|0_0_0|16|KDB-X|SQL||sym|4|SELECT * FROM trade WHERE time BETWEEN '0D10:00:00' AND '0D10:00:10'|success|3169493|2716738|2555775||0|0|0|16640
KDB-X SQL|memory|0_0_0|16|KDB-X|SQL||sym|5|SELECT * FROM quote WHERE sym = $1 AND time BETWEEN '0D08:30' AND '0D16:30'|success|1331052|1157871|1131021||0|0|0|124
KDB-X SQL|memory|0_0_0|16|KDB-X|SQL||sym|6|SELECT * FROM quote WHERE sym = $1 AND time BETWEEN '0D08:30' AND '0D16:30'|success|321291826|322518962|322219249||0|0|0|4063232
KDB-X SQL|memory|0_0_0|16|KDB-X|SQL||sym|7|SELECT * FROM quote WHERE time BETWEEN '0D08:30' AND '0D08:35' AND sym IN $1|success|168713624|169192237|170150637||0|0|0|124
KDB-X SQL|memory|0_0_0|16|KDB-X|SQL||sym|8|SELECT * FROM quote WHERE time BETWEEN '0D08:30' AND '0D08:35' AND sym IN $1|success|113059923|113361949|113309760||0|0|0|248
KDB-X SQL|memory|0_0_0|16|KDB-X|SQL||sym|9|SELECT sym, time, price, size, stop, cond, ex FROM trade WHERE source = 'N'|success|57866738|58031487|57938666||0|0|0|1900544
