solution|storagebackend|compparam|threadcount|runner|engine|format|indexon|idx|query|status|run1timeNS|run2timeNS|run3timeNS|run3memKB|run1ioKB|run2ioKB|run3ioKB|ressizeKB
chDB (Memory)|memory|nyi|16|Python|chdb|||0|load a partition into memory|success|16851235172||||116501987|||623147599
chDB (Memory)|memory|nyi|16|Python|chdb|||-1|transform|success|4741515544||||0|||231805195
chDB (Memory)|memory|nyi|16|Python|chdb|||-2|sort|success|1143966260453||||0|||231805195
chDB (Memory)|memory|nyi|16|Python|chdb|||1|SELECT * EXCEPT (rowid) FROM {quote} WHERE time < INTERVAL 8 HOUR ORDER BY rowid|success|2729784429|3313171618|3395875770||0|0|0|4592716
chDB (Memory)|memory|nyi|16|Python|chdb|||2|SELECT * EXCEPT (rowid) FROM {trade} WHERE seq=0|success|313970343|140053072|228846433||0|0|0|0
chDB (Memory)|memory|nyi|16|Python|chdb|||3|SELECT * EXCEPT (rowid) FROM {trade} WHERE 0 < seq AND 0 < price AND time BETWEEN INTERVAL 0 SECOND AND INTERVAL 1 DAY AND size < 2147483647 ORDER BY rowid|success|647686553|779126217|846829018||0|0|0|8770014
chDB (Memory)|memory|nyi|16|Python|chdb|||4|SELECT * EXCEPT (rowid) FROM {trade} WHERE time BETWEEN INTERVAL 36000 SECOND AND INTERVAL 36010 SECOND|success|387884329|150565702|155413355||0|0|0|9351
chDB (Memory)|memory|nyi|16|Python|chdb|||5|SELECT * EXCEPT (rowid) FROM {quote} WHERE sym = {infreqInstr} AND time BETWEEN INTERVAL 510 MINUTE AND INTERVAL 990 MINUTE ORDER BY rowid|success|2603830673|2418919663|2406912091||0|0|0|206
chDB (Memory)|memory|nyi|16|Python|chdb|||6|SELECT * EXCEPT (rowid) FROM {quote} WHERE sym = {freqInstr} AND time BETWEEN INTERVAL 510 MINUTE AND INTERVAL 990 MINUTE ORDER BY rowid|success|7972439203|8205998434|7928191969||0|0|0|3773520
chDB (Memory)|memory|nyi|16|Python|chdb|||7|SELECT * EXCEPT (rowid) FROM {quote} WHERE sym IN {fiftyInstrs} AND time BETWEEN INTERVAL 510 MINUTE AND INTERVAL 515 MINUTE|success|2900164991|2803356618|2904795856||0|0|0|188
chDB (Memory)|memory|nyi|16|Python|chdb|||8|SELECT * EXCEPT (rowid) FROM {quote} WHERE sym IN {thousandInfreqInstrs} AND time BETWEEN INTERVAL 510 MINUTE AND INTERVAL 515 MINUTE|success|2566487501|2550777309|2504496919||0|0|0|694
chDB (Memory)|memory|nyi|16|Python|chdb|||9|SELECT sym, time, price, size, stop, cond, ex FROM {trade} WHERE source = 'N' ORDER BY rowid|success|963428767|944173593|947276246||0|0|0|1652095
chDB (Memory)|memory|nyi|16|Python|chdb|||10|SELECT time, toFloat32((bid + ask) / 2) AS mid FROM {quote} WHERE sym = {infreqInstr} ORDER BY rowid|success|695408413|600810111|600968191||0|0|0|54
chDB (Memory)|memory|nyi|16|Python|chdb|||11|SELECT time, toFloat32((bid + ask) / 2) AS mid FROM {quote} WHERE sym = {freqInstr} ORDER BY rowid|success|1469082724|1548865817|1533502940||0|0|0|848064
chDB (Memory)|memory|nyi|16|Python|chdb|||12|SELECT time, toFloat32((bid + ask) / 2) AS mid FROM (SELECT * FROM {quote} WHERE sym = {infreqInstr} ORDER BY rowid)|success|610479677|596532472|598028194||0|0|0|54
chDB (Memory)|memory|nyi|16|Python|chdb|||13|SELECT time, toFloat32((bid + ask) / 2) AS mid FROM (SELECT * FROM {quote} WHERE sym = {freqInstr} ORDER BY rowid)|success|1546714032|1550868085|1477291279||0|0|0|848000
