solution|storagebackend|compparam|threadcount|runner|engine|format|indexon|idx|query|status|run1timeNS|run2timeNS|run3timeNS|run3memKB|run1ioKB|run2ioKB|run3ioKB|ressizeKB
KDB-X|memory|0_0_0|128|KDB-X|q-sql||sym|0|load a partition into memory|success|3795648359|||339573958|0|||
KDB-X|memory|0_0_0|128|KDB-X|q-sql||sym|-1|transform|success|0|||0|0|||
KDB-X|memory|0_0_0|128|KDB-X|q-sql||sym|-2|sort|success|416345289321|||317827581|0|||
KDB-X|memory|0_0_0|128|KDB-X|q-sql||sym|-3|index|success|1510687811|||135968951|0|||
KDB-X|memory|0_0_0|128|KDB-X|q-sql||sym|1|select from quote where time<0D8|success|42063461|41699071|41341871||0|0|0|8650752
KDB-X|memory|0_0_0|128|KDB-X|q-sql||sym|2|select from trade where seq=0i|success|6143567|3835551|3302015||0|0|0|0
KDB-X|memory|0_0_0|128|KDB-X|q-sql||sym|3|select from trade where 0i<seq, 0e < price, time within 0D 1D, size < 2147483647e|success|250904104|209598628|211843167||0|0|0|21233664
KDB-X|memory|0_0_0|128|KDB-X|q-sql||sym|4|select from trade where time within 0D10:00:00 0D10:00:10|success|2293553|2031408|1906659||0|0|0|20736
KDB-X|memory|0_0_0|128|KDB-X|q-sql||sym|5|select from quote where sym = infreqInstr, time within 0D08:30 0D16:30|success|327474|230518|214283||0|0|0|132
KDB-X|memory|0_0_0|128|KDB-X|q-sql||sym|6|select from quote where sym = freqInstr, time within 0D08:30 0D16:30|success|188089351|189793445|189225396||0|0|0|4325376
KDB-X|memory|0_0_0|128|KDB-X|q-sql||sym|7|select from quote where time within 0D08:30 0D08:35, sym in fiftyInstrs|success|4888160|4750132|4850334||0|0|0|132
KDB-X|memory|0_0_0|128|KDB-X|q-sql||sym|8|select from quote where time within 0D08:30 0D08:35, sym in thousandInfreqInstrs|success|5012448|4761049|4887700||0|0|0|264
KDB-X|memory|0_0_0|128|KDB-X|q-sql||sym|9|select sym, time, price, size, stop, cond, ex from trade where source = "N"|success|42650658|40753894|41361130||0|0|0|2686976
KDB-X|memory|0_0_0|128|KDB-X|q-sql||sym|10|select time, mid: (bid + ask) %2 from quote where sym = infreqInstr|success|100162|56766|45939||0|0|0|64
