solution|storagebackend|compparam|threadcount|runner|engine|format|indexon|idx|query|status|run1timeNS|run2timeNS|run3timeNS|run3memKB|run1ioKB|run2ioKB|run3ioKB|ressizeKB
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||0|load a partition into memory|success|5124498717|||339573959|0|||
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||-1|transform|success|0|||0||||
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||-2|sort|success|416455746676|||317827581|0|||
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||-3|index|success|167796309|||34359739|0|||
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||1|select from quote where time<0D8|success|216217256|215817412|215836060||0|0|0|8126464
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||2|select from trade where seq=0i|success|3059091|3415320|3433788||0|0|0|0
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||3|select from trade where 0i<seq, 0e < price, time within 0D 1D, size < 2147483647e|success|275029864|274981451|276317549||0|0|0|17039360
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||4|select from trade where time within 0D10:00:00 0D10:00:10|success|33218940|1731456|1615560||0|0|0|16640
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||5|select from quote where sym = infreqInstr, time within 0D08:30 0D16:30|success|299789683|297768850|298128443||0|0|0|124
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||6|select from quote where sym = freqInstr, time within 0D08:30 0D16:30|success|661336003|660558508|661109220||0|0|0|4063232
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||7|select from quote where time within 0D08:30 0D08:35, sym in fiftyInstrs|success|611362529|5728305|4809997||0|0|0|124
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||8|select from quote where time within 0D08:30 0D08:35, sym in thousandInfreqInstrs|success|5014577|5420910|5717458||0|0|0|248
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||9|select sym, time, price, size, stop, cond, ex from trade where source = "N"|success|57077076|56839417|57175644||0|0|0|1900544
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||10|select time, mid: (bid + ask) %2 from quote where sym = infreqInstr|success|298640988|297198879|297779767||0|0|0|64
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||11|select time, mid: (bid + ask) %2 from quote where sym = freqInstr|success|404874152|404935955|404304351||0|0|0|1048576
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||12|select time, mid: (bid + ask) %2 from select from quote where sym = infreqInstr|success|298223497|297606185|298951677||0|0|0|64
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||13|select time, mid: (bid + ask) %2 from select from quote where sym = freqInstr|success|655822633|654973290|655258019||0|0|0|1048576
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||14|`mid xdesc select time, mid: (bid + ask) %2 from quote where sym = infreqInstr|success|297507925|297088211|298234294||0|0|0|64
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||15|`mid xdesc select time, mid: (bid + ask) %2 from quote where sym = freqInstr|success|1066814057|1074739141|1067289906||0|0|0|1048576
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||16|select sym, time, bid, ask, bsize, asize, cond, ex from quote where sym = infreqInstr|success|297883152|298440224|298650672||0|0|0|120
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||17|select sym, time, bid, ask, bsize, asize, cond, ex from quote where sym = freqInstr|success|460981122|459542399|460368116||0|0|0|1966080
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||18|select sym, time, bid, ask, bsize, asize, cond, ex from quote where sym in fiftyInstrs, 2000i<bsize+asize|success|502841408|502960498|503905867||0|0|0|61440
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||19|select sym, time, bid, ask, bsize, asize, cond, ex from quote where 2000i<bsize+asize, sym in thousandInfreqInstrs|success|436746417|435682069|435905667||0|0|0|3840
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||20|select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize from quote where sym = infreqInstr|success|298680287|297798585|298212280||0|0|0|0
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||21|select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize from quote where sym = freqInstr|success|476891532|476713903|477044171||0|0|0|0
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||22|select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, ex from quote where sym = infreqInstr|success|298623071|297439903|297497490||0|0|0|10
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||23|select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, ex from quote where sym = freqInstr|success|598541999|598356008|598947091||0|0|0|34
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||24|.pvt.pivot select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, ex from quote where sym = infreqInstr|success|298592475|298733638|297130736||0|0|0|11
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||25|.pvt.pivot select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, ex from quote where sym = freqInstr|success|600030328|599417822|599836194||0|0|0|18
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||26|.pvt.pivot select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, sym from quote where sym in fiftyInstrs|success|551632995|551956775|551767879||0|0|0|46
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||27|.pvt.pivot select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, sym from quote where sym in thousandInfreqInstrs|success|584580355|582645772|580943190||0|0|0|996
KDB-X (NoAttr)|memory|0_0_0|16|KDB-X|q-sql|||28|fills .pvt.pivot select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, sym from quote where sym in fiftyInstrs|success|548350216|549503939|549789600||0|0|0|46
