solution|storagebackend|compparam|threadcount|runner|engine|format|indexon|idx|query|status|run1timeNS|run2timeNS|run3timeNS|run3memKB|run1ioKB|run2ioKB|run3ioKB|ressizeKB
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|0|load a partition into memory|success|72612492512|||339573959|195489408|||
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|-1|transform|success|0|||0|0|||
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|-2|sort|success|520651281795|||317827581|0|||
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|-3|index|success|13772764495|||135952436|0|||
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|1|select from quote where time<0D8|success|269073544|272203459|269102257|8858370|0|0|0|8650752
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|2|select from trade where seq=0i|success|26528978|26530590|26646576|268436|0|0|0|0
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|3|select from trade where 0i<seq, 0e < price, time within 0D 1D, size < 2147483647e|success|1988686462|1990344119|1991337262|23890757|0|0|0|21233664
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|4|select from trade where time within 0D10:00:00 0D10:00:10|success|2146727|1813684|1663025|23331|0|0|0|20736
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|5|select from quote where sym = infreqInstr, time within 0D08:30 0D16:30|success|295046|205811|195525|152|0|0|0|132
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|6|select from quote where sym = freqInstr, time within 0D08:30 0D16:30|success|3672203270|3584016488|3587033051|4966057|0|0|0|4325376
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|7|select from quote where time within 0D08:30 0D08:35, sym in fiftyInstrs|success|12155988|11502909|11843865|104858|0|0|0|132
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|8|select from quote where time within 0D08:30 0D08:35, sym in thousandInfreqInstrs|success|11438883|11893831|11646476|104858|0|0|0|264
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|9|select sym, time, price, size, stop, cond, ex from trade where source = "N"|success|451346863|450868109|450821909|3288335|0|0|0|2686976
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|10|select time, mid: (bid + ask) %2 from quote where sym = infreqInstr|success|80762|22224|23586|115|0|0|0|64
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|11|select time, mid: (bid + ask) %2 from quote where sym = freqInstr|success|695590479|697454448|692447605|1879049|0|0|0|1048576
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|12|select time, mid: (bid + ask) %2 from select from quote where sym = infreqInstr|success|370490|108263|91578|353|0|0|0|64
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|13|select time, mid: (bid + ask) %2 from select from quote where sym = freqInstr|success|3555360242|3555237075|3554890863|5771363|0|0|0|1048576
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|14|`mid xdesc select time, mid: (bid + ask) %2 from quote where sym = infreqInstr|success|241786|181705|164278|198|0|0|0|64
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|15|`mid xdesc select time, mid: (bid + ask) %2 from quote where sym = freqInstr|success|1576568988|1576949964|1575867427|3221227|0|0|0|1048576
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|16|select sym, time, bid, ask, bsize, asize, cond, ex from quote where sym = infreqInstr|success|146321|43766|36836|140|0|0|0|136
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|17|select sym, time, bid, ask, bsize, asize, cond, ex from quote where sym = freqInstr|success|1469922343|1454184408|1438550329|2281702|0|0|0|2228224
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|18|select sym, time, bid, ask, bsize, asize, cond, ex from quote where sym in fiftyInstrs, 2000i<bsize+asize|success|287806840|287805038|289196432|335545|0|0|0|69632
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|19|select sym, time, bid, ask, bsize, asize, cond, ex from quote where 2000i<bsize+asize, sym in thousandInfreqInstrs|success|4232248923|4220758261|4236440143|26843546|0|0|0|4352
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|20|select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize from quote where sym = infreqInstr|success|123787|72810|69956|132|0|0|0|0
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|21|select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize from quote where sym = freqInstr|success|1461297446|1481789574|1478873262|2147485|0|0|0|0
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|22|select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, ex from quote where sym = infreqInstr|success|256348|151699|297510|186|0|0|0|10
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|23|select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, ex from quote where sym = freqInstr|success|2520916960|2499829904|2518951688|3019901|0|0|0|34
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|24|.pvt.pivot select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, ex from quote where sym = infreqInstr|success|316228|191019|166962|187|0|0|0|11
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|25|.pvt.pivot select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, ex from quote where sym = freqInstr|success|2506023233|2508571476|2515879410|3019901|0|0|0|18
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|26|.pvt.pivot select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, sym from quote where sym in fiftyInstrs|success|595022488|596744343|598437815|503319|0|0|0|46
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|27|.pvt.pivot select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, sym from quote where sym in thousandInfreqInstrs|success|260200262|258946746|267138527|125840|0|0|0|996
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|28|fills .pvt.pivot select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, sym from quote where sym in fiftyInstrs|success|595065583|594134956|598491776|503319|0|0|0|46
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|29|fills .pvt.pivot select avgLiqWMid: avg ((bsize * bid) + asize * ask) % bsize + asize by 10 xbar time.minute, sym from quote where sym in thousandInfreqInstrs|success|262658300|262286818|260597363|125840|0|0|0|996
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|30|select avgSpread: avg ask - bid by 10 xbar time.minute from quote where sym = infreqInstr|success|100552|68414|64357|116|0|0|0|1
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|31|select avgSpread: avg ask - bid by 10 xbar time.minute from quote where sym = freqInstr|success|1229141855|1225626678|1225227665|1879050|0|0|0|1
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|32|select avgSpread: avg ask - bid by sym, 10 xbar time.minute from quote where sym in fiftyInstrs|success|435590219|435030012|433935456|503319|0|0|0|80
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|33|select avgSpread: avg ask - bid by sym, 10 xbar time.minute from quote where sym in thousandInfreqInstrs|success|165899342|162318856|161175105|125839|0|0|0|1792
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|34|select avgWeightedSpread: (asize + bsize) wavg ask - bid from quote where sym = infreqInstr|success|83457|43335|37908|66|0|0|0|0
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|35|select avgWeightedSpread: (asize + bsize) wavg ask - bid from quote where sym = freqInstr|success|797071410|796643322|788761210|1073743|0|0|0|0
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|36|select avgWeightedSpread: (asize + bsize) wavg ask - bid, devSpread: dev ask - bid, maxSpread: max ask - bid, minSpread: min ask - bid from quote where time within 0D08:30 0D08:35|success|26515698|26575578|27191140|100665|0|0|0|0
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|37|select avgWeightedSpread: (asize + bsize) wavg ask - bid, devSpread: dev ask - bid, maxSpread: max ask - bid, minSpread: min ask - bid by exnames ex from quote where sym=infreqInstr|success|284450|222136|206702|233|0|0|0|1
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|38|select avgWeightedSpread: (asize + bsize) wavg ask - bid, devSpread: dev ask - bid, maxSpread: max ask - bid, minSpread: min ask - bid by exnames ex from quote where sym=freqInstr|success|5627828203|5587024312|5598128089|3912888|0|0|0|1
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|39|select avgWeightedSpread: sizes wavg spread, devSpread: dev spread, maxSpread: max spread, minSpread: min spread by exnames ex from (select ex, sizes: asize + bsize, spread: ask - bid from quote where sym=infreqInstr)|success|278091|220033|201114|270|0|0|0|1
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|40|select avgWeightedSpread: sizes wavg spread, devSpread: dev spread, maxSpread: max spread, minSpread: min spread by exnames ex from (select ex, sizes: asize + bsize, spread: ask - bid from quote where sym=freqInstr)|success|4662537693|4672502856|4686705048|4516868|0|0|0|1
KDB-X|memory|0_0_0|1|KDB-X|q-sql||sym|41|select avgWeightedSpread: (asize + bsize) wavg ask - bid, devSpread: dev ask - bid, maxSpread: max ask - bid, minSpread: min ask - bid by sym, exnames ex from quote where sym in fiftyInstrs|success|1064018828|1061041485|1057851259|620120|0|0|0|67
