solution|storagebackend|compparam|threadcount|runner|engine|format|indexon|idx|query|status|run1timeNS|run2timeNS|run3timeNS|run3memKB|run1ioKB|run2ioKB|run3ioKB|ressizeKB
Polars (Lazy)|memory|nyi|16|Python|polars|||0|load a partition into memory|success|96196923465||||3583578|||299114739
Polars (Lazy)|memory|nyi|16|Python|polars|||-1|transform|success|3427179964||||0|||300517699
Polars (Lazy)|memory|nyi|16|Python|polars|||-2|sort|success|29546797139||||0|||300517656
Polars (Lazy)|memory|nyi|16|Python|polars|||1|"quote.filter(pl.col(""time"") < timedelta(hours=8))"|success|168943180|167077811|168690719||0|0|0|6984098
Polars (Lazy)|memory|nyi|16|Python|polars|||2|"trade.filter(pl.col(""seq"") == 0)"|success|5755330|5613025|5233011||0|0|0|0
Polars (Lazy)|memory|nyi|16|Python|polars|||3|"trade.filter(pl.col(""seq"") > 0, pl.col(""price"") > 0, pl.col(""time"").is_between(timedelta(), timedelta(days=1), closed=""left""), pl.col(""size"") < 2147483647)"|success|13667181|13391644|13648212||0|0|0|9636118
Polars (Lazy)|memory|nyi|16|Python|polars|||4|"trade.filter(pl.col(""time"").is_between(timedelta(hours=10), timedelta(hours=10, seconds=10), closed=""both""))"|success|4594105|4244136|4221362||0|0|0|9191
Polars (Lazy)|memory|nyi|16|Python|polars|||5|"quote.filter(pl.col(""sym"") == infreqInstr, pl.col(""time"").is_between(timedelta(hours=8, minutes=30), timedelta(hours=16, minutes=30), closed=""both""))"|success|196826432|198003762|194632736||0|0|0|201
Polars (Lazy)|memory|nyi|16|Python|polars|||6|"quote.filter(pl.col(""sym"") == freqInstr, pl.col(""time"").is_between(timedelta(hours=8, minutes=30), timedelta(hours=16, minutes=30), closed=""both""))"|success|1039732810|933294578|909796526||0|0|0|5816607
Polars (Lazy)|memory|nyi|16|Python|polars|||7|"quote.filter(pl.col(""sym"").is_in(fiftyInstrs), pl.col(""time"").is_between(timedelta(hours=8, minutes=30), timedelta(hours=8, minutes=35), closed=""both""))"|success|662009116|618466413|623541906||0|0|0|110
Polars (Lazy)|memory|nyi|16|Python|polars|||8|"quote.filter(pl.col(""sym"").is_in(thousandInfreqInstrs), pl.col(""time"").is_between(timedelta(hours=8, minutes=30), timedelta(hours=8, minutes=35), closed=""both""))"|success|699852975|755498053|706557330||0|0|0|268
Polars (Lazy)|memory|nyi|16|Python|polars|||9|"trade.filter(pl.col(""source"") == ""N"").select(""sym"", ""time"", ""price"", ""size"", ""stop"", ""cond"", ""ex"")"|success|80806114|26791771|25179153||0|0|0|1982380
Polars (Lazy)|memory|nyi|16|Python|polars|||10|"quote.filter(pl.col(""sym"") == infreqInstr).select(""time"", mid=((pl.col(""bid"") + pl.col(""ask"")) / 2))"|success|46226511|48490823|47464361||0|0|0|28
Polars (Lazy)|memory|nyi|16|Python|polars|||11|"quote.filter(pl.col(""sym"") == freqInstr).select(""time"", mid=((pl.col(""bid"") + pl.col(""ask"")) / 2))"|success|183300755|180824071|180887517||0|0|0|725440
Polars (Lazy)|memory|nyi|16|Python|polars|||12|"quote.filter(pl.col(""sym"") == infreqInstr).select(pl.all()).select(""time"", mid=(pl.col(""bid"") + pl.col(""ask"")) / 2)"|success|45796741|47894912|46028221||0|0|0|28
Polars (Lazy)|memory|nyi|16|Python|polars|||13|"quote.filter(pl.col(""sym"") == freqInstr).select(pl.all()).select(""time"", mid=(pl.col(""bid"") + pl.col(""ask"")) / 2)"|success|186402494|185228149|182807699||0|0|0|725440
Polars (Lazy)|memory|nyi|16|Python|polars|||14|"quote.filter(pl.col(""sym"") == infreqInstr).select(""time"", mid=(pl.col(""bid"") + pl.col(""ask"")) / 2).sort(""mid"", descending=True)"|success|46460133|45144234|45475965||0|0|0|28
Polars (Lazy)|memory|nyi|16|Python|polars|||15|"quote.filter(pl.col(""sym"") == freqInstr).select(""time"", mid=(pl.col(""bid"") + pl.col(""ask"")) / 2).sort(""mid"", descending=True)"|success|574817489|542476779|540457067||0|0|0|725440
Polars (Lazy)|memory|nyi|16|Python|polars|||16|"quote.filter(pl.col(""sym"") == infreqInstr).select(""sym"", ""time"", ""bid"", ""ask"", ""bsize"", ""asize"", ""cond"", ""ex"")"|success|60106092|62365387|61930330||0|0|0|86
Polars (Lazy)|memory|nyi|16|Python|polars|||17|"quote.filter(pl.col(""sym"") == freqInstr).select(""sym"", ""time"", ""bid"", ""ask"", ""bsize"", ""asize"", ""cond"", ""ex"")"|success|347091737|328983733|325904889||0|0|0|2176321
Polars (Lazy)|memory|nyi|16|Python|polars|||18|"quote.filter(pl.col(""sym"").is_in(fiftyInstrs), pl.col(""bsize"") + pl.col(""asize"") > 2000).select(""sym"", ""time"", ""bid"", ""ask"", ""bsize"", ""asize"", ""cond"", ""ex"")"|success|780503253|758439320|786265454||0|0|0|38902
Polars (Lazy)|memory|nyi|16|Python|polars|||19|"quote.filter(pl.col(""sym"").is_in(thousandInfreqInstrs), pl.col(""bsize"") + pl.col(""asize"") > 2000).select(""sym"", ""time"", ""bid"", ""ask"", ""bsize"", ""asize"", ""cond"", ""ex"")"|success|801859358|820488709|805988790||0|0|0|3042
Polars (Lazy)|memory|nyi|16|Python|polars|||20|"quote.filter(pl.col(""sym"") == infreqInstr).select(((pl.col(""bsize"") * pl.col(""bid"") + pl.col(""asize"") * pl.col(""ask"")) / (pl.col(""asize"") + pl.col(""bsize""))).drop_nans().mean().alias(""avgLiqWMid""))"|success|45937884|44719923|44599851||0|0|0|0
Polars (Lazy)|memory|nyi|16|Python|polars|||21|"quote.filter(pl.col(""sym"") == freqInstr).select(((pl.col(""bsize"") * pl.col(""bid"") + pl.col(""asize"") * pl.col(""ask"")) / (pl.col(""asize"") + pl.col(""bsize""))).drop_nans().mean().alias(""avgLiqWMid""))"|success|164406643|164128823|163405389||0|0|0|0
Polars (Lazy)|memory|nyi|16|Python|polars|||22|"quote.filter(pl.col(""sym"") == infreqInstr).with_columns(time = pl.lit(datadate).dt.combine(pl.col(""time""))).group_by_dynamic(index_column=""time"", every=""10m"", closed=""left"", group_by=[""ex""]).agg(((pl.col(""bsize"") * pl.col(""bid"") + pl.col(""asize"") * pl.col(""ask"")) / (pl.col(""asize"") + pl.col(""bsize""))).drop_nans().mean().alias(""avgLiqWMid"")).with_columns(pl.col(""time"").dt.time()).sort([""time"", ""ex""]).rename({""time"": ""minute""})"|success|57249283|56065514|56428042||0|0|0|4
Polars (Lazy)|memory|nyi|16|Python|polars|||23|"quote.filter(pl.col(""sym"") == freqInstr).with_columns(time = pl.lit(datadate).dt.combine(pl.col(""time""))).group_by_dynamic(index_column=""time"", every=""10m"", closed=""left"", group_by=[""ex""]).agg(((pl.col(""bsize"") * pl.col(""bid"") + pl.col(""asize"") * pl.col(""ask"")) / (pl.col(""asize"") + pl.col(""bsize""))).drop_nans().mean().alias(""avgLiqWMid"")).with_columns(pl.col(""time"").dt.time()).sort([""time"", ""ex""]).rename({""time"": ""minute""})"|success|1446843587|1414959238|1404215667||0|0|0|23
Polars (Lazy)|memory|nyi|16|Python|polars|||24|"quote.filter(pl.col(""sym"") == infreqInstr).with_columns(time = pl.lit(datadate).dt.combine(pl.col(""time""))).group_by_dynamic(index_column=""time"", every=""10m"", closed=""left"", group_by=[""ex""]).agg(((pl.col(""bsize"") * pl.col(""bid"") + pl.col(""asize"") * pl.col(""ask"")) / (pl.col(""asize"") + pl.col(""bsize""))).drop_nans().mean().alias(""avgLiqWMid"")).collect().pivot(""ex"", values=""avgLiqWMid"", index=""time"").with_columns(pl.col(""time"").dt.time()).sort(""time"").rename({""time"": ""minute""})"|success|295206953|278375620|280599711||0|0|0|6
Polars (Lazy)|memory|nyi|16|Python|polars|||25|"quote.filter(pl.col(""sym"") == freqInstr).with_columns(time = pl.lit(datadate).dt.combine(pl.col(""time""))).group_by_dynamic(index_column=""time"", every=""10m"", closed=""left"", group_by=[""ex""]).agg(((pl.col(""bsize"") * pl.col(""bid"") + pl.col(""asize"") * pl.col(""ask"")) / (pl.col(""asize"") + pl.col(""bsize""))).drop_nans().mean().alias(""avgLiqWMid"")).collect().pivot(""ex"", values=""avgLiqWMid"", index=""time"").with_columns(pl.col(""time"").dt.time()).sort(""time"").rename({""time"": ""minute""})"|success|1948345245|1933539354|1928184839||0|0|0|13
